"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"glycerol-alpha-phosphate",-0.730084111357232,-0.656571556996839,1.05441359423412,-0.0507946335361579,0.935259053948931,0.527457096619649,-2.14630175250499,0.685426699274694,0.935259053948931,0.0416061350719602,0.607242474413,-1.20291205311607
"glycerol-3-galactoside",0.0129883772926697,-0.394297525838303,-0.744124435388419,-0.409000742712975,2.08203974749267,-0.394297525838303,-0.209600492779064,-0.351528140780617,-0.246218322349393,2.06282099149504,-0.423939221016551,-0.984842709576759
"glycerol",-0.238487161896678,-0.68873456460467,1.24175819671711,-1.02713271542854,-0.314713956864097,-0.550180558646093,2.33658078194201,0.77648266519608,0.10976473230622,-0.376339295429507,-1.10813777261762,-0.160860350674226
"glyceric acid",1.1498246252522,0.509591160265637,0.561623758903046,1.22666595848586,0.513673445761459,1.3651053830673,-0.555535056175011,-0.719083819132959,-1.35516205968642,-1.12545432353458,-0.393519805995504,-1.17772926721101
"glutamine",0.636294037973926,0.0575711210511494,0.117711683939094,0.673249750360564,0.584986332842693,0.00549387641761882,-0.499139618664542,0.395943614088438,0.612213192306154,1.04606211942795,-2.62687054506426,-1.00351556467878
"glutamic acid",0.480144231752572,0.66352197922956,0.902114392983514,0.119762101949894,-0.0438043085240335,0.789739066848542,-0.175176219609416,0.717108962706045,1.00763760060714,-1.69542487727996,-1.93795740617835,-0.827665524485523
"glucose",-0.637792681731537,0.229400689075124,-1.40478389351229,-0.32880456430302,-0.0686202773674204,-1.81666545854195,1.7589054369568,0.326658940194675,-0.0543116292137168,0.320570559383408,1.30908085802358,0.366362021036324
"gluconic acid lactone",-1.07873995877662,-0.513364120269523,-0.923660868482144,-1.34752750929458,-0.978551873096379,-0.524212010741316,0.683819388034245,0.337267348056909,1.01340735135984,1.56346630226475,1.05074288997738,0.717353060967423
"gluconic acid",-1.34632436381487,-0.118921774613222,-0.145105979760705,-0.952825637678101,-0.322434682215311,0.0831981149885373,2.71638371078006,0.420665106715202,0.307695593851607,-0.33237236745215,-0.557822109969688,0.247864389168644
"fumaric acid",0.195025937633892,0.682230904582706,0.510150769707441,-0.188906749756523,1.42009483776033,0.872546812051107,-0.485533284691062,0.340988531005576,0.292387341594361,0.0544882266917751,-1.56280767496599,-2.13066565161362
