"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"hexitol",8.55458885167764,8.67948009950545,8.62935662007961,8.77807712953536,9.4241662888181,9.97871045910636,7.64385618977472,9.01959072835788,7.55458885167764,8.55074678538324,8.37068740680722,8.4178525148859
"hexadecane",11.8069523282107,11.4424251933316,11.7095146607067,11.876516946565,12.3663222142458,11.0566377151132,10.57931593758,11.5186531556734,11.2603315185576,10.8864586957037,11.1337844091799,11.0007042690112
"heptadecanoic acid",11.0701209444768,10.6137894644726,10.7414669864011,10.2276159434142,10.9643408677924,10.6137894644726,11.140829770773,11.0042204663182,10.9483672315847,10.5536292939164,9.67595703294175,10.6366246205436
"glycolic acid",9.52160043972373,9.66533591718518,9.24079133216196,9.13185696060879,9.33985000288462,9.68825030913318,8.61102479730735,9.13699111208023,8.84862294042934,9.23601419190008,8.84862294042934,8.4178525148859
"glycine",15.2931482994732,15.0711690339097,15.4711036110579,15.0040887634616,14.9311991921114,15.2373593621988,13.7074669850351,14.1871974020622,14.2990648867794,14.2500022678404,13.6660020326449,14.9361778225768
"glycerol-alpha-phosphate",6.71424551766612,6.74146698640115,7.37503943134692,6.96578428466209,7.33091687811462,7.17990909001493,6.18982455888002,7.23840473932508,7.33091687811462,7,7.20945336562895,6.53915881110803
"glycerol-3-galactoside",7.62935662007961,7,6.4594316186373,6.97727992349992,10.8265484872909,7,7.28540221886225,7.06608919045777,7.22881869049588,10.7968507952672,6.95419631038687,6.08746284125034
"glycerol",14.2806982856409,14.0052736565639,15.1861916352682,13.7982692749497,14.2340689511831,14.090029693953,15.8559147755396,14.9015740230021,14.4937303835703,14.196371596542,13.7487169894829,14.328184035828
"glyceric acid",12.5762481298433,12.1888978732422,12.2203783276952,12.6227382178711,12.1913677134189,12.7064960180612,11.5444815223108,11.4455322190283,11.0606959316876,11.1996723448364,11.6425030287805,11.1680452682241
"glutamine",14.6678322659072,13.7185328760692,13.8171835394257,14.7284520101644,14.5836704472703,13.6331087549407,12.8053408284164,14.273577080792,14.6283316146788,15.3399891450018,9.3151495622563,11.977995368613
"glutamic acid",13.1205618964429,13.1772637982535,13.2510385272135,13.0091287895393,12.958552715431,13.2162911557571,12.9179314442816,13.1938333325465,13.2836671674915,12.447858104954,12.3728650601126,12.7161764058074
"glucose",17.4201740652258,17.8945691156686,17.0005942496381,17.5892049163466,17.7315378055042,16.7752759038153,18.7312792502825,17.9477738961698,17.7393653006064,17.9444432690925,18.4852043135992,17.9694933253913
"gluconic acid lactone",6.96578428466209,7.4093909361377,7.08746284125034,6.75488750216347,7.04439411935845,7.40087943628218,8.34872815423108,8.07681559705083,8.60733031374961,9.0389189892923,8.63662462054365,8.37503943134693
"gluconic acid",6.2667865406949,7.44294349584873,7.4178525148859,6.64385618977472,7.24792751344359,7.63662462054365,10.1598713367784,7.96000193206808,7.85174904141606,7.23840473932508,7.02236781302845,7.79441586635011
"fumaric acid",9.90689059560852,10.1799090900149,10.0834793273318,9.69174351917128,10.5933911227917,10.286557761608,9.52552080909507,9.98868468677217,9.9614496943982,9.82813648419411,8.92184093707449,8.60362634498619
"fucose",6.61470984411521,6.52356195605701,7.49185309632967,6.74146698640115,7.57742882803575,7.03342300153745,8.11374216604919,7.59245703726808,7.33091687811462,7.03342300153745,5.95419631038687,6.68650052718322
"ethanolamine",12.9168124977098,13.1192653831758,13.0867996856235,12.5171772526895,13.2959123933816,13.7493457060999,12.5304063370991,12.7328033943935,12.5608104687279,12.2635626398206,11.8029201985853,12.8948177633079
"erythritol",10.6193029554157,10.2969162068793,10.0741414627525,10.2538474849874,10.9188632372746,11.2318211786574,11.4812949046311,10.0014081943928,9.81057163474115,10.1459321458205,9.7279204545632,10.4645457503339
"dodecanol",8.43045255166553,8.31288295528435,8.10852445677817,8.12412131182919,8.70735913208088,8.1548181090521,7.6724253419715,8.37937836707126,8.60362634498619,8.05528243550119,7.65821148275179,8.5077946401987
"docosahexaenoic acid",7.66533591718518,8.4178525148859,7.8703647195834,7.40087943628218,7.8008998999203,6.79441586635011,7.64385618977472,8.41362792902417,7.49984588708321,8.18982455888002,7.64385618977472,8.04439411935845
